Node	CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
CEREBELLUM_LEFT	1.0	0.15768873691558838	0.47477394342422485	0.009235079400241375	0.021258080378174782	0.24699649214744568	0.15102605521678925	0.16243748366832733	-0.05354400351643562	-0.1334669291973114	0.735274612903595	-0.053088441491127014	-0.08678481727838516	0.11043810099363327	0.35163652896881104	-0.04628979414701462	0.19858792424201965	0.1070074662566185	-0.21770434081554413
THALAMUS_LEFT	0.15768873691558838	1.0	0.1585426926612854	-0.13034453988075256	0.15590794384479523	0.02747381664812565	0.1526889055967331	-0.12854218482971191	0.3007541000843048	-0.5305827260017395	0.4029167592525482	0.45564258098602295	0.1983938068151474	-0.1265309751033783	0.06995412707328796	0.11248986423015594	0.36453866958618164	0.3270891606807709	-0.10225366801023483
CAUDATE_LEFT	0.47477394342422485	0.1585426926612854	1.0	-0.01997971720993519	-0.1464478075504303	-0.23134545981884003	0.061052270233631134	-0.2564353942871094	-0.05921391397714615	0.019464951008558273	0.11181419342756271	-0.005111973267048597	0.3179440200328827	-0.012090291827917099	0.3568058907985687	-0.06610851734876633	-0.18871667981147766	0.10296332091093063	0.20937053859233856
PUTAMEN_LEFT	0.009235079400241375	-0.13034453988075256	-0.01997971720993519	1.0	0.31843510270118713	-0.06675877422094345	0.1389452964067459	0.3929598927497864	-0.041346825659275055	-0.0364234559237957	0.1361263543367386	-0.027225885540246964	-0.02220422402024269	0.8934096097946167	0.04790700972080231	0.11462242901325226	-0.06850304454565048	0.36277511715888977	0.547827422618866
PALLIDUM_LEFT	0.021258080378174782	0.15590794384479523	-0.1464478075504303	0.31843510270118713	1.0	-0.06641293317079544	0.029346248134970665	0.04564114660024643	0.04712950065732002	0.08803483098745346	0.3402404487133026	0.3907308876514435	0.4488237500190735	0.34736841917037964	-0.01010039635002613	0.03882671520113945	0.23653598129749298	0.2993457317352295	-0.07438911497592926
BRAIN_STEM	0.24699649214744568	0.02747381664812565	-0.23134545981884003	-0.06675877422094345	-0.06641293317079544	1.0	0.19560179114341736	0.21575120091438293	0.49993741512298584	-0.10512059181928635	0.16742472350597382	0.034795135259628296	-0.418239951133728	-0.06631442159414291	0.013491402380168438	0.12653644382953644	-0.19809044897556305	-0.26271748542785645	-0.5224869847297668
HIPPOCAMPUS_LEFT	0.15102605521678925	0.1526889055967331	0.061052270233631134	0.1389452964067459	0.029346248134970665	0.19560179114341736	1.0	0.6982194781303406	0.18455423414707184	-0.567390501499176	0.48049843311309814	-0.07083532959222794	-0.20662963390350342	0.0740324929356575	-0.5445355176925659	0.9555381536483765	0.2974461615085602	0.6230664849281311	0.21085141599178314
AMYGDALA_LEFT	0.16243748366832733	-0.12854218482971191	-0.2564353942871094	0.3929598927497864	0.04564114660024643	0.21575120091438293	0.6982194781303406	1.0	0.059381529688835144	-0.20438474416732788	0.5275287628173828	-0.06725452840328217	-0.2592340409755707	0.2747591435909271	-0.35980427265167236	0.6863450407981873	0.45101967453956604	0.4223288893699646	0.19644348323345184
ACCUMBENS_LEFT	-0.05354400351643562	0.3007541000843048	-0.05921391397714615	-0.041346825659275055	0.04712950065732002	0.49993741512298584	0.18455423414707184	0.059381529688835144	1.0	-0.25635045766830444	0.11298224329948425	0.48370254039764404	-0.12879127264022827	-0.23463213443756104	0.07450062781572342	0.23537106812000275	-0.11224017292261124	0.15189702808856964	-0.22584228217601776
DIENCEPHALON_VENTRAL_LEFT	-0.1334669291973114	-0.5305827260017395	0.019464951008558273	-0.0364234559237957	0.08803483098745346	-0.10512059181928635	-0.567390501499176	-0.20438474416732788	-0.25635045766830444	1.0	-0.42229896783828735	0.011748632416129112	0.4236743748188019	-0.002361625898629427	0.3192152976989746	-0.5657297372817993	-0.3700178563594818	-0.6010544300079346	-0.27646970748901367
CEREBELLUM_RIGHT	0.735274612903595	0.4029167592525482	0.11181419342756271	0.1361263543367386	0.3402404487133026	0.16742472350597382	0.48049843311309814	0.5275287628173828	0.11298224329948425	-0.42229896783828735	1.0	0.215020552277565	-0.040875691920518875	0.13443171977996826	0.032141219824552536	0.3626493513584137	0.6264338493347168	0.5185169577598572	-0.0988716259598732
THALAMUS_RIGHT	-0.053088441491127014	0.45564258098602295	-0.005111973267048597	-0.027225885540246964	0.3907308876514435	0.034795135259628296	-0.07083532959222794	-0.06725452840328217	0.48370254039764404	0.011748632416129112	0.215020552277565	1.0	0.2663567066192627	-0.298450231552124	0.26259392499923706	-0.11609792709350586	-0.01372032705694437	-0.04831881448626518	-0.38729631900787354
CAUDATE_RIGHT	-0.08678481727838516	0.1983938068151474	0.3179440200328827	-0.02220422402024269	0.4488237500190735	-0.418239951133728	-0.20662963390350342	-0.2592340409755707	-0.12879127264022827	0.4236743748188019	-0.040875691920518875	0.2663567066192627	1.0	0.0426589734852314	0.31239208579063416	-0.19215084612369537	-0.021725226193666458	0.08154778182506561	0.05210572108626366
PUTAMEN_RIGHT	0.11043810099363327	-0.1265309751033783	-0.012090291827917099	0.8934096097946167	0.34736841917037964	-0.06631442159414291	0.0740324929356575	0.2747591435909271	-0.23463213443756104	-0.002361625898629427	0.13443171977996826	-0.298450231552124	0.0426589734852314	1.0	0.05455399304628372	0.06082635372877121	-0.010966291651129723	0.3431508541107178	0.5465136170387268
PALLIDUM_RIGHT	0.35163652896881104	0.06995412707328796	0.3568058907985687	0.04790700972080231	-0.01010039635002613	0.013491402380168438	-0.5445355176925659	-0.35980427265167236	0.07450062781572342	0.3192152976989746	0.032141219824552536	0.26259392499923706	0.31239208579063416	0.05455399304628372	1.0	-0.613144040107727	-0.3222266733646393	-0.24776330590248108	-0.19473828375339508
HIPPOCAMPUS_RIGHT	-0.04628979414701462	0.11248986423015594	-0.06610851734876633	0.11462242901325226	0.03882671520113945	0.12653644382953644	0.9555381536483765	0.6863450407981873	0.23537106812000275	-0.5657297372817993	0.3626493513584137	-0.11609792709350586	-0.19215084612369537	0.06082635372877121	-0.613144040107727	1.0	0.36118194460868835	0.6618456244468689	0.3101377785205841
AMYGDALA_RIGHT	0.19858792424201965	0.36453866958618164	-0.18871667981147766	-0.06850304454565048	0.23653598129749298	-0.19809044897556305	0.2974461615085602	0.45101967453956604	-0.11224017292261124	-0.3700178563594818	0.6264338493347168	-0.01372032705694437	-0.021725226193666458	-0.010966291651129723	-0.3222266733646393	0.36118194460868835	1.0	0.44682174921035767	0.16379199922084808
ACCUMBENS_RIGHT	0.1070074662566185	0.3270891606807709	0.10296332091093063	0.36277511715888977	0.2993457317352295	-0.26271748542785645	0.6230664849281311	0.4223288893699646	0.15189702808856964	-0.6010544300079346	0.5185169577598572	-0.04831881448626518	0.08154778182506561	0.3431508541107178	-0.24776330590248108	0.6618456244468689	0.44682174921035767	1.0	0.522745668888092
DIENCEPHALON_VENTRAL_RIGHT	-0.21770434081554413	-0.10225366801023483	0.20937053859233856	0.547827422618866	-0.07438911497592926	-0.5224869847297668	0.21085141599178314	0.19644348323345184	-0.22584228217601776	-0.27646970748901367	-0.0988716259598732	-0.38729631900787354	0.05210572108626366	0.5465136170387268	-0.19473828375339508	0.3101377785205841	0.16379199922084808	0.522745668888092	1.0
